Unique ID,SKIP resource name,SKIP download link,SKIP Resource Link,asset ,image,document,SKIP FileType,SKIP Location/Source SKIP,state name,SKIP Migrate or Don't Migrate,SKIP Corporate Resource,SKIP Dine Out Resource,SKIP Blogger,SKIP Local Market,SKIP Additional NKH notes ,SKIP CHIEF Response,Title,SKIP 11/8 CHIEF Notes,Resource Description,Corporate Partner Description,Local Market Description,DineOut description,FileType,Category,SKIP CHIEF Notes 11.8,SKIP NKH Approval 11.8
48,,NKH_knockout_cs3.eps,,NKH_knockout_cs3.eps,,NKH_knockout_cs3.eps,eps,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,NKH White Logo eps,Migrate,"Usage of the No Kid Hungry logo or the apple iconography is restricted to No Kid Hungry partners and restaurants participating in our Dine Out For No Kid Hungry fundraising program only. All materials must be approved by your account manager. Before incorporating the No Kid Hungry logo and iconography into your design, please review our branding guidelines.",,,,Design Files,Logos,ok term,
49,,NKH_knockout_cs3.png,,NKH_knockout_cs3.png,NKH_knockout_cs3.png,,png,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,NKH White Logo png,Migrate,"Usage of the No Kid Hungry logo or the apple iconography is restricted to No Kid Hungry partners and restaurants participating in our Dine Out For No Kid Hungry fundraising program only. All materials must be approved by your account manager. Before incorporating the No Kid Hungry logo and iconography into your design, please review our branding guidelines.",,,,Image,Logos,ok term,
50,,0129.jpg,,0129.jpg,0129.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,FOR ALL .JPG FILES/PHOTOS BELOW - WOULD LIKE THE OPTION TO UPDATE THESE IMAGES IN PHASE 1 OR PHASE 2,any updates to these files can be made in the Change Log document that was shared with the NKH team. Please make sure you note the name of the document that's been changed and the new file name. ,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
51,,20120315-cooking-matters-AR-0461.jpg,,20120315-cooking-matters-AR-0461.jpg,20120315-cooking-matters-AR-0461.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,FROM NKH: All image files we've titled as either No Kid Hungry photo or Stock photo. Please keep under these broad titles rather than a specific title per image file.,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
52,,20120320-cooking-matters-CO-0754.jpg,,20120320-cooking-matters-CO-0754.jpg,20120320-cooking-matters-CO-0754.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
53,,20120321-cooking-matters-CO-0099.jpg,,20120321-cooking-matters-CO-0099.jpg,20120321-cooking-matters-CO-0099.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
54,,20120321-cooking-matters-CO-0107.jpg,,20120321-cooking-matters-CO-0107.jpg,20120321-cooking-matters-CO-0107.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
55,,20120321-cooking-matters-CO-0154.jpg,,20120321-cooking-matters-CO-0154.jpg,20120321-cooking-matters-CO-0154.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
56,,20120321-cooking-matters-CO-0214.jpg,,20120321-cooking-matters-CO-0214.jpg,20120321-cooking-matters-CO-0214.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
57,,20120717-ShareOurStrength_CT-0163_edited.jpg,,20120717-ShareOurStrength_CT-0163_edited.jpg,20120717-ShareOurStrength_CT-0163_edited.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
